complaint_id,date,complaint_text,category,sentiment,priority,channel,customer_value,resolution_time,is_repeat_customer
0,2024-08-02,I would like to report that Issue not resolved refund pending please resolve quickly. Please fix this.,Refund Issue,Positive,Low,Website,45232,94,0
1,2024-05-29,I would like to report that Issue not resolved damaged. Please fix this.,Product Quality,Negative,High,App,44631,14,0
2,2024-06-09,I would like to report that I am facing an issue password. Please fix this.,Account Issue,Positive,Low,App,2933,32,0
3,2024-02-28,There seems to be an issue because This is very frustrating not credited please resolve quickly. Need help urgently.,Refund Issue,Negative,Medium,Email,6896,60,0
4,2024-06-23,"I had an experience where I am facing an issue transaction, and I am not satisfied.",Payment Problem,Negative,Medium,Email,3247,73,0
5,2024-11-02,There seems to be an issue because Not satisfied with the experience help please resolve quickly. Need help urgently.,Customer Service,Negative,Medium,Call,1767,14,0
6,2024-01-14,There seems to be an issue because I am facing an issue access. Need help urgently.,Account Issue,Negative,High,App,22277,71,1
7,2024-04-01,This is regarding a problem where Issue not resolved charged. Kindly resolve soon.,Payment Problem,Negative,High,Call,24397,95,0
8,2024-03-21,There seems to be an issue because I am facing an issue refund pending. Need help urgently.,Refund Issue,Negative,Medium,App,17659,89,0
9,2024-02-23,There seems to be an issue because I am facing an issue refund pending. Need help urgently.,Refund Issue,Negative,High,Website,24439,17,0
10,2024-02-13,This is regarding a problem where I am facing an issue payment issue. Kindly resolve soon.,Payment Problem,Negative,Medium,Email,10192,101,1
11,2024-09-27,This is regarding a problem where There is a problem transaction. Kindly resolve soon.,Payment Problem,Negative,High,App,34263,59,0
12,2024-07-26,I would like to report that This is very frustrating no response please resolve quickly. Please fix this.,Customer Service,Negative,Medium,Call,1516,96,1
13,2024-09-08,"I had an experience where Not satisfied with the experience, and I am not satisfied.",Account Issue,Negative,Medium,Website,9768,100,0
14,2024-03-05,This is regarding a problem where Issue not resolved return please resolve quickly. Kindly resolve soon.,Refund Issue,Negative,High,App,40476,56,0
15,2024-05-18,"I had an experience where Not satisfied with the experience late please resolve quickly, and I am not satisfied.",Delivery Issue,Positive,Low,Email,2527,74,0
16,2024-08-18,I am facing this issue where There is a problem not good. Please look into it.,Product Quality,Neutral,Low,Call,14486,16,1
17,2024-02-02,This is regarding a problem where There is a problem transaction. Kindly resolve soon.,Payment Problem,Negative,High,Email,23162,23,1
18,2024-02-04,I am facing this issue where Issue not resolved assistance. Please look into it.,Customer Service,Negative,High,Website,31318,97,0
19,2024-01-05,I would like to report that This is very frustrating late. Please fix this.,Delivery Issue,Negative,Medium,Website,8610,12,1
20,2024-07-25,There seems to be an issue because Issue not resolved payment issue. Need help urgently.,Payment Problem,Negative,High,Call,45953,20,0
